"","name","address","type","lat","lng"
"279","Lighthouse","Vung Tau","Landmarks & Monuments",29.8781348,29.3679264
"280","Cau Castle","Phu Quoc Island","Religious",NA,NA
"281","Cemeteries","Dien Bien Phu","Military",29.982343,29.982833
"282","Botanic Gardens","Ho Chi Minh City","Parks & Gardens",40.670343,1.322519
"283","Co Ha Gardens","Hue","Parks & Gardens",37.1414756,33.2204322
"284","Quan Thang House","Hoi An","Architecture",NA,NA
"285","Bai Dram Trau","Con Dao Islands","Beaches, Islands & Waterfronts",8.7335652,106.6224217
"286","Bao Quoc Pagoda","Hue","Religious",16.4542212,107.579788
"287","Sapa Museum","Sapa","Museums & Galleries",NA,NA
"288","Long Xuyen Catholic Church","Long Xuyen","Religious",NA,NA
"289","Ethnographic Museum","South-West Highlands","Museums & Galleries",NA,NA
"290","Cuong Hoan Traditional Silk Centre","Dalat & Around","Museums & Galleries",NA,NA
"291","National Oceanographic Museum","Nha Trang","Museums & Galleries",NA,12.2189817
"292","Victory Monument","Buon Ma Thuot","Landmarks & Monuments",13.764934,46.5005477
"293","Assembly Hall","Hoi An","Other",39.1808699,-86.5222284
"294","Soc Trang Museum","Soc Trang","Museums & Galleries",NA,NA
"295","Truong San Residence","Hue","Castles, Palaces & Mansions",24.4560192,25.962206
"296","Xuan Huong Lake","Dalat","Lakes, Rivers & Waterfalls",11.9411106,108.4461507
"297","Seminary & Hill-Tribe Museum","Kon Tum","Museums & Galleries",31.5623892,-89.4975669
"298","Handicraft Workshop","Hoi An","Farms, Workshops & Factories",NA,NA
"299","Lam Dong Museum","Dalat","Museums & Galleries",11.9409803,108.4596121
"300","People’s Committee Building","Ho Chi Minh City","Architecture",24.509174,NA
"301","Can Tho Museum","Can Tho","Museums & Galleries",10.0351667,NA
"302","Vien Minh Pagoda","Ben Tre","Architecture",NA,NA
"303","Po Shanu Cham Towers","Mui Ne","Religious",NA,NA
"304","Quan Thanh Temple","Hanoi","Religious",NA,NA
"305","Camp Carroll","Demilitarised Zone (Dmz)","Historic",NA,31.9642887
"306","Ba Le Well","Hoi An","Landmarks & Monuments",15.8786975,108.3301279
"307","Buu Long Mountain","Around Ho Chi Minh City","Other",NA,NA
"308","Chau Phu Temple","Chau Doc","Religious",27.2621089,115.7779579
"309","Hang Pagoda","Tra Vinh","Religious",30.2611828,22.4420501
"310","Dong Thap Museum","Cao Lanh","Museums & Galleries",NA,NA
"311","White Villa","Vung Tau","Museums & Galleries",38.8792317,-34.6440659
"312","30 Thang 4 Park","Chau Doc","Parks & Gardens",9.6025706,105.9743026
"313","Bau Truc Village","Phan Rang & Thap Cham","Neighbourhoods & Villages",NA,NA
"314","Ambassadors’ Pagoda","Hanoi","Religious",NA,NA
"315","An Quang Pagoda","Ho Chi Minh City","Other",33.7511039,NA
"316","My Son","My Son","Religious",NA,NA
"317","Du Hang Pagoda","Haiphong","Religious",NA,NA
"318","Saigon Race Track","Ho Chi Minh City","Sporting Venues",NA,NA
"319","Lenin Park","Hanoi","Other",NA,38.5777821
"320","Royal Theatre","Hue","Architecture",NA,53.961677
"321","Ba Be National Park","Ba Be National Park","Parks & Gardens",22.4112376,105.6060661
"322","Thuy Son","Marble Mountains","Natural Landmarks",21.0070371,16.004277
"323","Khanh Hoa Museum","Nha Trang","Museums & Galleries",12.2499,109.196
"324","Tomb of Dong Khanh","Around Hue","Cemeteries, Memorials & Tombs",NA,NA
"325","Banh It Cham Towers","Cha Ban Cham Area","Architecture",NA,NA
"326","Dam Doi Bird Sanctuary","Mekong Delta","Other",17.9043215,98.6160674
"327","Tombs of Spanish and French Soldiers","Around Danang","Other",NA,NA
"328","Ngu Phung","Hue","Landmarks & Monuments",10.5313904,108.9353663
"329","Emperor's Reading Room","Hue","Architecture",NA,NA
"330","Truc Bach Lake","Hanoi","Lakes, Rivers & Waterfalls",21.0455322,NA
"331","Linh Phuoc Pagoda","Dalat & Around","Other",NA,NA
"332","Cua Can Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"333","Ham Ho","Ham Ho Nature Reserve","Parks & Gardens",NA,-90.6506073
"334","Opera House","Ho Chi Minh City","Theatres, Concert Halls & Cinemas",NA,21.1957319
"335","San Art","Ho Chi Minh City","Museums & Galleries",NA,37.3336817
"336","Truc Lam Pagoda","Dalat & Around","Other",10.7643715,20.3785433
"337","Craft Markets","Son La","Markets & Bazaars",40.6894828,-73.9733481
"338","Dray Sap & Dray Nur Falls","Dray Sap & Dray Nur Falls","Lakes, Rivers & Waterfalls",12.5843164,107.9746652
"339","Son My Memorial","Son My (My Lai)","Military",15.18,108.886389
"340","Assembly Hall of the Hainan Chinese Congregation","Hoi An","Architecture",NA,NA
"341","Ho Chi Minh Museum","Pleiku","Museums & Galleries",21.0356034,10.7682712
"342","Long Thanh Gallery","Nha Trang","Museums & Galleries",40.7711119,-73.9856544
"343","Ho Chi Minh Museum","Danang","Museums & Galleries",21.0356034,NA
"344","Tran Quoc Pagoda","Hanoi","Religious",NA,NA
"345","Nha Tu Phu Quoc","Phu Quoc Island","Landmarks & Monuments",10.0434889,NA
"346","Old Town","Hoi An","Neighbourhoods & Villages",NA,55.6520814
"347","Vam Sat","Can Gio","Parks & Gardens",NA,106.7670518
"348","Datanla Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,NA
"349","Danang Cathedral","Danang","Religious",NA,108.2198893
"350","Tay Ho Pagoda","Hanoi","Religious",30.2611828,120.1480934
"351","Chien Dan","Chien Dan","Architecture",15.615432,24.987868
"352","Endangered Primate Rescue Center","Cuc Phuong National Park","Natural Parks & Forests",NA,NA
"353","Cho Quan Church","Ho Chi Minh City","Religious",10.7572477,106.6815431
"354","Bamboo Lagoon","Con Dao Islands","Other",28.2424761,-82.7037729
"355","Bai Tu Long National Park","Halong Bay","Other",36.4566598,114.0904246
"356","Yok Don National Park","Yok Don National Park","Parks & Gardens",12.7021524,NA
"357","Hung Vuong Roundabout","Soc Trang","Landmarks & Monuments",20.8559056,NA
"358","Coconut Tree Prison","Phu Quoc Island","Cemeteries, Memorials & Tombs",NA,NA
"359","Crocodile Swamp","Cat Tien National Park","Lakes, Rivers & Waterfalls",NA,NA
"360","Diep Dong Nguyen House","Hoi An","Architecture",NA,NA
"361","National School","Hue","Architecture",NA,25.0105741
"362","Tomb of Gia Long","Around Hue","Cemeteries, Memorials & Tombs",NA,NA
"363","Ban Gioc Waterfall","Ban Gioc Waterfall & Nguom Ngao Cave","Lakes, Rivers & Waterfalls",NA,106.7231011
