"","name","address","type","fullLocation","lat","lng"
"120","Nguom Ngao Cave","Ban Gioc Waterfall & Nguom Ngao Cave",NA,"Nguom Ngao Cave, Ban Gioc Waterfall & Nguom Ngao Cave",NA,NA
"121","Cai Rang Floating Market","Around Can Tho",NA,"Cai Rang Floating Market, Around Can Tho",NA,NA
"122","Hamburger Hill","Demilitarised Zone (Dmz)",NA,"Hamburger Hill, Demilitarised Zone (Dmz)",NA,NA
"123","Truong Son National Cemetery","Demilitarised Zone (Dmz)",NA,"Truong Son National Cemetery, Demilitarised Zone (Dmz)",NA,NA
"124","Thuan An to Vinh HienThuan An Beach","Around Hue",NA,"Thuan An to Vinh HienThuan An Beach, Around Hue",NA,NA
"125","Sao, Dam & Vong Beaches","Phu Quoc Island",NA,"Sao, Dam & Vong Beaches, Phu Quoc Island",NA,NA
"126","Ngoc Son Temple","Hanoi",NA,"Ngoc Son Temple, Hanoi",NA,NA
"127","Tam Thanh and Nhi Thanh Caves","Lang Son",NA,"Tam Thanh and Nhi Thanh Caves, Lang Son",NA,NA
"128","Phu Hai Prison","Con Dao Islands",NA,"Phu Hai Prison, Con Dao Islands",NA,NA
"129","Hang Duong Cemetery","Con Dao Islands",NA,"Hang Duong Cemetery, Con Dao Islands",NA,NA
"130","Lang Bian Mountain","Dalat",NA,"Lang Bian Mountain, Dalat",NA,NA
"131","Mekong River Islands","Vinh Long",NA,"Mekong River Islands, Vinh Long",NA,NA
"132","Tam Dao National Park","Around Hanoi",NA,"Tam Dao National Park, Around Hanoi",NA,NA
"133","Saigon South","Ho Chi Minh City",NA,"Saigon South, Ho Chi Minh City",NA,NA
"134","Nghia An Hoi Quan Pagoda","Ho Chi Minh City",NA,"Nghia An Hoi Quan Pagoda, Ho Chi Minh City",NA,NA
"135","One Pillar Pagoda","Hanoi",NA,"One Pillar Pagoda, Hanoi",NA,NA
"136","Valley of Love","Dalat & Around",NA,"Valley of Love, Dalat & Around",NA,NA
"137","Bang Lang","Around Can Tho",NA,"Bang Lang, Around Can Tho",NA,NA
"138","Cat Co Cove","Cat Ba Island",NA,"Cat Co Cove, Cat Ba Island",NA,NA
"139","Ben Duoc","Cu Chi",NA,"Ben Duoc, Cu Chi",NA,NA
"140","Nha Trang Cathedral","Nha Trang",NA,"Nha Trang Cathedral, Nha Trang",NA,NA
"141","Huynh Thuy Le Old House","Sa Dec",NA,"Huynh Thuy Le Old House, Sa Dec",NA,NA
"142","Long Khanh Pagoda","Quy Nhon",NA,"Long Khanh Pagoda, Quy Nhon",NA,NA
"143","Suoi Tranh & Suoi Da Ban","Phu Quoc Island",NA,"Suoi Tranh & Suoi Da Ban, Phu Quoc Island",NA,NA
"144","Worldwide Arms Museum","Vung Tau",NA,"Worldwide Arms Museum, Vung Tau",NA,NA
"145","St Joseph Cathedral","Hanoi",NA,"St Joseph Cathedral, Hanoi",NA,NA
"146","Cai Be Floating Market","Vinh Long",NA,"Cai Be Floating Market, Vinh Long",NA,NA
"147","Tu Hieu Pagoda","Around Hue",NA,"Tu Hieu Pagoda, Around Hue",NA,NA
"148","Mosques","Chau Doc",NA,"Mosques, Chau Doc",NA,NA
"149","Ho Chi Minh Trail Museum","Around Hanoi",NA,"Ho Chi Minh Trail Museum, Around Hanoi",NA,NA
"150","Phuoc Lam Pagoda","Hoi An",NA,"Phuoc Lam Pagoda, Hoi An",NA,NA
"151","Tam Coc","Tam Coc",NA,"Tam Coc, Tam Coc",NA,NA
"152","Dieu De National Pagoda","Hue",NA,"Dieu De National Pagoda, Hue",NA,NA
"153","Nurseries","Sa Dec",NA,"Nurseries, Sa Dec",NA,NA
"154","Tam Son Hoi Quan Pagoda","Ho Chi Minh City",NA,"Tam Son Hoi Quan Pagoda, Ho Chi Minh City",NA,NA
"155","Cao Dai Temple","Danang",NA,"Cao Dai Temple, Danang",NA,NA
"156","Ngo Mon Gate","Hue",NA,"Ngo Mon Gate, Hue",NA,NA
"157","Binh Dinh Museum","Quy Nhon",NA,"Binh Dinh Museum, Quy Nhon",NA,NA
"158","Ong Temple","Can Tho",NA,"Ong Temple, Can Tho",NA,NA
"159","Nam Giao Esplanade","Around Hue",NA,"Nam Giao Esplanade, Around Hue",NA,NA
"160","Van Thanh Mieu Temple","Vinh Long",NA,"Van Thanh Mieu Temple, Vinh Long",NA,NA
"161","Vinh Trang Pagoda","My Tho",NA,"Vinh Trang Pagoda, My Tho",NA,NA
"162","Hospital Cave","Cat Ba Island",NA,"Hospital Cave, Cat Ba Island",NA,NA
"163","Guangzhou Assembly Hall","Can Tho",NA,"Guangzhou Assembly Hall, Can Tho",NA,NA
"164","Tomb of Thoai Ngoc Hau","Sam Mountain",NA,"Tomb of Thoai Ngoc Hau, Sam Mountain",NA,NA
"165","Du Sinh Church","Dalat & Around",NA,"Du Sinh Church, Dalat & Around",NA,NA
"166","Halls of the Mandarins","Hue",NA,"Halls of the Mandarins, Hue",NA,NA
"167","Thach Dong Cave Pagoda","Ha Tien",NA,"Thach Dong Cave Pagoda, Ha Tien",NA,NA
"168","Temple","Hoi An",NA,"Temple, Hoi An",NA,NA
"169","Revolutionary Museum","Con Dao Islands",NA,"Revolutionary Museum, Con Dao Islands",NA,NA
"170","Dao Tien Endangered Primate Species Centre","Cat Tien National Park",NA,"Dao Tien Endangered Primate Species Centre, Cat Tien National Park",NA,NA
"171","Ong Bon Pagoda","Ho Chi Minh City",NA,"Ong Bon Pagoda, Ho Chi Minh City",NA,NA
"172","Crémaillère Railway Station","Dalat",NA,"Crémaillère Railway Station, Dalat",NA,NA
"173","Truc Lam Pagoda & Cable Car ","Dalat & Around",NA,"Truc Lam Pagoda & Cable Car , Dalat & Around",NA,NA
"174","Ho Chi Minh Museum","Hanoi",NA,"Ho Chi Minh Museum, Hanoi",NA,NA
"175","Marc Hoa Binh Pagoda","Around Bac Lieu",NA,"Marc Hoa Binh Pagoda, Around Bac Lieu",NA,NA
"176","22 Ly Tu Trong","Ho Chi Minh City",NA,"22 Ly Tu Trong, Ho Chi Minh City",NA,NA
"177","Tay Phuong Pagoda","Thay & Tay Phuong Pagodas",NA,"Tay Phuong Pagoda, Thay & Tay Phuong Pagodas",NA,NA
"178","Thap Doi Cham Towers","Quy Nhon",NA,"Thap Doi Cham Towers, Quy Nhon",NA,NA
"179","Saigon Central Mosque","Ho Chi Minh City",NA,"Saigon Central Mosque, Ho Chi Minh City",NA,NA
